time,field_value,field_friendly_name
2025-09-03T13:51:14.013364Z,0.0,EmotionPlayer-Aggression
2025-09-03T13:51:14.023612Z,40.0,EmotionPlayer-Energy
2025-09-03T13:51:14.035343Z,0.0,EmotionPlayer-Joy
2025-09-03T13:51:14.046009Z,127.0,EmotionPlayer-Risk
2025-09-03T13:51:14.056371Z,0.0,EmotionPlayer-Sad
2025-09-03T13:51:14.066344Z,78.0,EmotionPlayer-Stress
2025-09-03T13:51:14.075930Z,27.0,JQ
2025-09-03T13:51:14.086336Z,19.0,JQcl
2025-09-03T13:51:14.096745Z,0.0,LVA-CognitiveStress
2025-09-03T13:51:14.108218Z,0.0,LVA-EmotionStress
2025-09-03T13:51:14.120828Z,0.0,LVA-EnergyStress
2025-09-03T13:51:14.135643Z,0.0,LVA-GlobalStress
2025-09-03T13:51:14.145663Z,0.0,LVA-MentalEffort
2025-09-03T13:51:14.155334Z,0.0,LVA-SOSStress
2025-09-03T13:51:14.167745Z,0.0,LVARiskStress
2025-09-03T13:51:14.177276Z,90.0,SOS
2025-09-03T13:51:14.185582Z,792.0,VOL1
2025-09-03T13:51:14.197808Z,64.0,VOL2
2025-09-03T13:51:14.207819Z,0.0,aggression
2025-09-03T13:51:14.218519Z,0.0,anticipation
2025-09-03T13:51:14.228777Z,0.0,arousal
2025-09-03T13:51:14.239794Z,3.0,atmosphere
2025-09-03T13:51:14.251545Z,1.0,channel
2025-09-03T13:51:14.263250Z,112.0,cognitiveHighLowBalance
2025-09-03T13:51:14.276951Z,21.0,concentration
2025-09-03T13:51:14.289829Z,0.0,dissatisfied
2025-09-03T13:51:14.302906Z,35.0,emotionBalance
2025-09-03T13:51:14.319248Z,52.0,emotionCognitiveRatio
2025-09-03T13:51:14.345773Z,4.0,emotionEnergyBalance
2025-09-03T13:51:14.364836Z,15.0,energy
2025-09-03T13:51:14.381993Z,16.0,excitement
2025-09-03T13:51:14.394958Z,8.0,extremeEmotion
2025-09-03T13:51:14.406254Z,0.0,finalRiskLevel
2025-09-03T13:51:14.416932Z,17.0,hesitation
2025-09-03T13:51:14.426260Z,8.0,imagination
2025-09-03T13:51:14.434957Z,4.0,index
2025-09-03T13:51:14.444203Z,0.0,joy
2025-09-03T13:51:14.453623Z,29.0,mentalEffort
2025-09-03T13:51:14.465343Z,103.0,offlineLVA-cognitiveStress
2025-09-03T13:51:14.474807Z,0.0,offlineLVA-deceptionPatterns
2025-09-03T13:51:14.483878Z,140.0,offlineLVA-emotionStress
2025-09-03T13:51:14.493380Z,30.0,offlineLVA-frgStress
2025-09-03T13:51:14.503666Z,130.0,offlineLVA-globalStress
2025-09-03T13:51:14.514089Z,59.0,offlineLVA-riskProbability
2025-09-03T13:51:14.525411Z,157.0,offlineLVA-riskStress
2025-09-03T13:51:14.537316Z,201.0,offlineLVA-subjectiveEffortLevel
2025-09-03T13:51:14.552861Z,18.0,offlineLVA-value
2025-09-03T13:51:14.565617Z,-2.0,onlineLVA
2025-09-03T13:51:14.575149Z,835.0,overallCognitiveActivity
2025-09-03T13:51:14.585275Z,2.0,oz1
2025-09-03T13:51:14.595847Z,2.0,oz2
2025-09-03T13:51:14.605854Z,0.0,risk1
2025-09-03T13:51:14.615116Z,0.0,risk2
2025-09-03T13:51:14.624777Z,59.0,riskOZ
2025-09-03T13:51:14.634990Z,0.0,sad
2025-09-03T13:51:14.645153Z,9.0,stress
2025-09-03T13:51:14.655768Z,15.0,uncertainty
2025-09-03T13:51:14.669389Z,0.0,uneasy
2025-09-03T13:51:14.678915Z,15.0,voiceEnergy
2025-09-03T13:51:14.690850Z,12.0,EDP-Anticipation
2025-09-03T13:51:14.701507Z,78.0,EDP-Concentrated
2025-09-03T13:51:14.720627Z,69.0,EDP-Confident
2025-09-03T13:51:14.732143Z,47.0,EDP-Distress
2025-09-03T13:51:14.743702Z,78.0,EDP-Emotional
2025-09-03T13:51:14.753165Z,81.0,EDP-Energetic
2025-09-03T13:51:14.763305Z,14.0,EDP-Hesitation
2025-09-03T13:51:14.774390Z,0.0,EDP-Passionate
2025-09-03T13:51:14.784527Z,32.0,EDP-Stressful
2025-09-03T13:51:14.794967Z,32.0,EDP-Thoughtful
2025-09-03T13:51:14.804749Z,0.0,EDP-Uneasy
2025-09-03T13:51:14.814821Z,57.0,EmotionPlayer-Aggression
2025-09-03T13:51:14.826009Z,88.0,EmotionPlayer-Energy
2025-09-03T13:51:14.836866Z,0.0,EmotionPlayer-Joy
2025-09-03T13:51:14.846954Z,255.0,EmotionPlayer-Risk
2025-09-03T13:51:14.857675Z,0.0,EmotionPlayer-Sad
2025-09-03T13:51:14.867594Z,58.0,EmotionPlayer-Stress
2025-09-03T13:51:14.877521Z,7.0,JQ
2025-09-03T13:51:14.886939Z,42.0,JQcl
