time,state,topic
2025-11-03T09:09:38.734058Z,3.0,PM1/sensor/steinel_lux/state
2025-11-03T09:09:38.763945Z,19.43,PM1/sensor/steinel_tmp/state
2025-11-03T09:09:38.808962Z,10.2,PM1/sensor/steinel_dptmp/state
2025-11-03T09:09:38.859175Z,55.2,PM1/sensor/steinel_hih/state
2025-11-03T09:09:38.967244Z,101124.3,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:09:39.020203Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:09:39.726084Z,44.92,PM1/sensor/ee_hih/state
2025-11-03T09:09:43.175068Z,5.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:48.740294Z,4.0,PM1/sensor/steinel_lux/state
2025-11-03T09:09:48.839245Z,19.46,PM1/sensor/steinel_tmp/state
2025-11-03T09:09:48.839314Z,10.24,PM1/sensor/steinel_dptmp/state
2025-11-03T09:09:48.954313Z,101124.2,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:09:58.115915Z,2.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:58.748985Z,19.49,PM1/sensor/steinel_tmp/state
2025-11-03T09:09:58.793932Z,8.0,PM1/sensor/ee_lux/state
2025-11-03T09:09:58.819163Z,10.28,PM1/sensor/steinel_dptmp/state
2025-11-03T09:09:58.874165Z,55.28,PM1/sensor/steinel_hih/state
2025-11-03T09:09:58.952162Z,101124.1,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:10:08.806094Z,10.26,PM1/sensor/steinel_dptmp/state
2025-11-03T09:10:08.866174Z,55.2,PM1/sensor/steinel_hih/state
2025-11-03T09:10:09.014117Z,0.0,PM1/sensor/steinel_voc/state
2025-11-03T09:10:10.015161Z,14.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:17.066093Z,8.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:17.566132Z,2.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:18.755751Z,19.52,PM1/sensor/steinel_tmp/state
2025-11-03T09:10:18.806012Z,10.28,PM1/sensor/steinel_dptmp/state
2025-11-03T09:10:18.947259Z,101124.0,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:10:19.016167Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:10:19.565908Z,8.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:22.855983Z,22.02,PM1/sensor/ee_tmp/state
2025-11-03T09:10:23.674186Z,14.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:28.733884Z,19.54,PM1/sensor/steinel_tmp/state
2025-11-03T09:10:28.786115Z,10.27,PM1/sensor/steinel_dptmp/state
2025-11-03T09:10:28.854380Z,55.08,PM1/sensor/steinel_hih/state
2025-11-03T09:10:28.886329Z,100295.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:10:28.914215Z,101119.9,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:10:37.149182Z,8.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:38.724669Z,19.57,PM1/sensor/steinel_tmp/state
2025-11-03T09:10:38.774307Z,10.33,PM1/sensor/steinel_dptmp/state
2025-11-03T09:10:38.837171Z,55.2,PM1/sensor/steinel_hih/state
2025-11-03T09:10:38.864784Z,100299.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:10:38.920012Z,101123.9,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:10:38.969179Z,0.0,PM1/sensor/steinel_voc/state
2025-11-03T09:10:39.696454Z,44.68,PM1/sensor/ee_hih/state
2025-11-03T09:10:42.996149Z,14.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:48.768041Z,10.3,PM1/sensor/steinel_dptmp/state
2025-11-03T09:10:48.813902Z,55.08,PM1/sensor/steinel_hih/state
2025-11-03T09:10:48.979023Z,2.0,PM1/sensor/steinel_voc/state
2025-11-03T09:10:57.935123Z,9.0,PM1/sensor/ee_lux/state
2025-11-03T09:10:58.698857Z,19.58,PM1/sensor/steinel_tmp/state
2025-11-03T09:10:58.749288Z,10.28,PM1/sensor/steinel_dptmp/state
2025-11-03T09:10:58.798874Z,55.0,PM1/sensor/steinel_hih/state
2025-11-03T09:10:58.869204Z,101123.8,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:10:58.949324Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:11:02.586288Z,15.0,PM1/sensor/ee_lux/state
2025-11-03T09:11:02.719555Z,22.12,PM1/sensor/ee_tmp/state
2025-11-03T09:11:05.126388Z,9.0,PM1/sensor/ee_lux/state
2025-11-03T09:11:08.706049Z,19.62,PM1/sensor/steinel_tmp/state
2025-11-03T09:11:08.754024Z,10.35,PM1/sensor/steinel_dptmp/state
2025-11-03T09:11:08.804174Z,55.08,PM1/sensor/steinel_hih/state
2025-11-03T09:11:08.879479Z,101123.7,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:11:18.734088Z,10.32,PM1/sensor/steinel_dptmp/state
2025-11-03T09:11:18.784144Z,55.0,PM1/sensor/steinel_hih/state
2025-11-03T09:11:22.326043Z,3.0,PM1/sensor/ee_lux/state
2025-11-03T09:11:27.579131Z,9.0,PM1/sensor/ee_lux/state
2025-11-03T09:11:28.698779Z,19.64,PM1/sensor/steinel_tmp/state
2025-11-03T09:11:28.743632Z,10.37,PM1/sensor/steinel_dptmp/state
2025-11-03T09:11:28.793745Z,55.08,PM1/sensor/steinel_hih/state
2025-11-03T09:11:39.655949Z,44.52,PM1/sensor/ee_hih/state
2025-11-03T09:11:42.459369Z,12.0,PM1/sensor/ee_lux/state
2025-11-03T09:11:46.504122Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:11:47.015030Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:11:48.804734Z,100301.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:11:48.848850Z,101125.7,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:11:48.949368Z,2.0,PM1/sensor/steinel_voc/state
2025-11-03T09:11:52.216133Z,6.0,PM1/sensor/ee_lux/state
2025-11-03T09:11:55.096137Z,0.0,PM1/sensor/ee_lux/state
2025-11-03T09:11:58.639131Z,19.67,PM1/sensor/steinel_tmp/state
2025-11-03T09:11:58.718847Z,55.0,PM1/sensor/steinel_hih/state
2025-11-03T09:11:58.769159Z,100300.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:11:58.813838Z,101124.6,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:12:01.846593Z,22.22,PM1/sensor/ee_tmp/state
2025-11-03T09:12:08.627008Z,19.69,PM1/sensor/steinel_tmp/state
2025-11-03T09:12:08.673783Z,10.36,PM1/sensor/steinel_dptmp/state
2025-11-03T09:12:08.729115Z,54.88,PM1/sensor/steinel_hih/state
2025-11-03T09:12:08.754315Z,100301.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:12:08.804193Z,101125.5,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:12:08.887090Z,1.0,PM1/sensor/steinel_voc/state
2025-11-03T09:12:28.649355Z,19.71,PM1/sensor/steinel_tmp/state
2025-11-03T09:12:28.730139Z,54.8,PM1/sensor/steinel_hih/state
2025-11-03T09:12:28.829131Z,101125.4,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:12:38.731742Z,100302.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:12:38.778933Z,101126.5,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:12:39.626040Z,44.4,PM1/sensor/ee_hih/state
2025-11-03T09:12:48.654146Z,19.76,PM1/sensor/steinel_tmp/state
2025-11-03T09:12:48.699031Z,10.42,PM1/sensor/steinel_dptmp/state
2025-11-03T09:12:48.749438Z,54.88,PM1/sensor/steinel_hih/state
2025-11-03T09:12:48.818973Z,100301.0,PM1/sensor/steinel_abs_air_pressure/state
2025-11-03T09:12:48.843720Z,101125.4,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:12:55.016211Z,3.0,PM1/sensor/ee_lux/state
2025-11-03T09:12:58.630935Z,19.77,PM1/sensor/steinel_tmp/state
2025-11-03T09:12:58.678977Z,10.41,PM1/sensor/steinel_dptmp/state
2025-11-03T09:12:58.737431Z,54.8,PM1/sensor/steinel_hih/state
2025-11-03T09:12:58.809194Z,101125.3,PM1/sensor/steinel_rel_air_pressure/state
2025-11-03T09:13:01.865080Z,22.28,PM1/sensor/ee_tmp/state
2025-11-03T09:13:08.206093Z,9.0,PM1/sensor/ee_lux/state
2025-11-03T09:13:08.598969Z,19.75,PM1/sensor/steinel_tmp/state
2025-11-03T09:13:08.644101Z,10.36,PM1/sensor/steinel_dptmp/state
2025-11-03T09:13:08.677455Z,54.68,PM1/sensor/steinel_hih/state
2025-11-03T09:13:08.754264Z,101125.4,PM1/sensor/steinel_rel_air_pressure/state
